actividades_ctp
ACTA 2%
ASISTENCIA TECNICA A CTP
ACOMPAÑAMIENTO VIA TELEFONICA A CTP
VALIDACION DE MATRICULA PARA VENTA DE FORMATO
VALIDACION DE DOCUMENTOS ACADEMICOS PARA AUTENTICA DE CTP
REGISTRO Y TRAMITE DE CERTIFICACION
INFORME DE SEGUIMIENTO EN LOS PROCESOS ACADEMICOS CTP
VALIDACION DE SEGUIMIENTOS EN LOS PROCESOS ACADEMICOS CTP (MATRICULA Y EGRESO)
VALIDACION DE SEGUIMIENTOS EN LOS PROCESOS ACADEMICOS CTP (CERTIFICACION Y SOLVENCIA)
VALIDACION DE SEGUIMIENTOS EN LOS PROCESOS ACADEMICOS CTP (VENTA DE FORMATOS)
VALIDACION DE SEGUIMIENTOS EN LOS PROCESOS ACADEMICOS CTP  (DECAE)
GENERACION DE SOLVENCIA
APERTURA DE LIBROS
VALIDACIÓN PROBLEMAS EN SISTEMA REGISTRO CTP
EN SISTEMA
